YEAR,BEAT_I,DRRACE,HITS,num_searches,District,HITRATE
2015,122,Black or African American,0.0,1,01,0.0
2015,124,Black or African American,1.0,1,01,1.0
2015,132,Black or African American,0.0,1,01,0.0
2015,211,Black or African American,1.0,4,02,0.25
2015,212,Black or African American,2.0,5,02,0.4
2015,213,Black or African American,3.0,9,02,0.3333333333333333
2015,214,Black or African American,1.0,3,02,0.3333333333333333
2015,215,Black or African American,0.0,2,02,0.0
2015,221,Black or African American,5.0,14,02,0.35714285714285715
2015,221,Hispanic or Latino,0.0,2,02,0.0
2015,221,White,0.0,1,02,0.0
2015,222,Black or African American,1.0,5,02,0.2
2015,222,Hispanic or Latino,0.0,1,02,0.0
2015,223,Black or African American,0.0,4,02,0.0
2015,224,Black or African American,2.0,11,02,0.18181818181818182
2015,225,Black or African American,0.0,17,02,0.0
2015,225,Hispanic or Latino,0.0,1,02,0.0
2015,231,Black or African American,1.0,10,02,0.1
2015,232,Black or African American,3.0,19,02,0.15789473684210525
2015,232,Hispanic or Latino,0.0,1,02,0.0
2015,233,Black or African American,0.0,5,02,0.0
2015,234,Black or African American,0.0,1,02,0.0
2015,235,Black or African American,0.0,1,02,0.0
2015,311,Black or African American,0.0,1,03,0.0
2015,312,Black or African American,1.0,8,03,0.125
2015,313,Black or African American,1.0,3,03,0.3333333333333333
2015,314,Black or African American,0.0,2,03,0.0
2015,321,Black or African American,4.0,10,03,0.4
2015,321,White,0.0,1,03,0.0
2015,322,Black or African American,0.0,3,03,0.0
2015,322,White,1.0,1,03,1.0
2015,323,Black or African American,1.0,3,03,0.3333333333333333
2015,324,Black or African American,1.0,5,03,0.2
2015,331,Black or African American,1.0,5,03,0.2
2015,332,Black or African American,2.0,8,03,0.25
2015,333,Black or African American,3.0,8,03,0.375
2015,334,Black or African American,1.0,6,03,0.16666666666666666
2015,334,Hispanic or Latino,0.0,1,03,0.0
2015,412,Black or African American,0.0,3,04,0.0
2015,413,Black or African American,0.0,2,04,0.0
2015,414,Black or African American,1.0,1,04,1.0
2015,421,Black or African American,0.0,1,04,0.0
2015,423,Black or African American,1.0,1,04,1.0
2015,511,Black or African American,0.0,1,05,0.0
2015,511,White,0.0,1,05,0.0
2015,512,Black or African American,1.0,2,05,0.5
2015,512,White,1.0,1,05,1.0
2015,513,American Indian or Alaska Native,0.0,1,05,0.0
2015,513,Black or African American,1.0,5,05,0.2
2015,513,White,0.0,1,05,0.0
2015,522,Black or African American,1.0,3,05,0.3333333333333333
2015,522,Hispanic or Latino,0.0,1,05,0.0
2015,524,Black or African American,2.0,4,05,0.5
2015,524,Hispanic or Latino,1.0,1,05,1.0
2015,531,Black or African American,0.0,1,05,0.0
2015,532,Black or African American,0.0,2,05,0.0
2015,611,Black or African American,2.0,8,06,0.25
2015,612,Black or African American,1.0,2,06,0.5
2015,613,Black or African American,2.0,3,06,0.6666666666666666
2015,614,Black or African American,2.0,5,06,0.4
2015,614,Native Hawaiian or Other Pacific Islander,0.0,1,06,0.0
2015,621,Black or African American,0.0,2,06,0.0
2015,622,White,0.0,1,06,0.0
2015,623,Black or African American,0.0,6,06,0.0
2015,624,Black or African American,0.0,1,06,0.0
2015,631,American Indian or Alaska Native,1.0,1,06,1.0
2015,631,Black or African American,0.0,1,06,0.0
2015,632,Black or African American,1.0,3,06,0.3333333333333333
2015,633,Hispanic or Latino,0.0,1,06,0.0
2015,634,Black or African American,1.0,1,06,1.0
2015,711,Black or African American,0.0,1,07,0.0
2015,712,Black or African American,2.0,6,07,0.3333333333333333
2015,712,Hispanic or Latino,0.0,1,07,0.0
2015,713,Black or African American,0.0,2,07,0.0
2015,713,Hispanic or Latino,1.0,1,07,1.0
2015,715,Black or African American,0.0,1,07,0.0
2015,722,Black or African American,0.0,2,07,0.0
2015,723,Black or African American,1.0,3,07,0.3333333333333333
2015,725,Black or African American,2.0,4,07,0.5
2015,726,Black or African American,0.0,2,07,0.0
2015,726,White,1.0,1,07,1.0
2015,732,Black or African American,0.0,2,07,0.0
2015,733,Black or African American,1.0,1,07,1.0
2015,734,Black or African American,0.0,2,07,0.0
2015,735,Black or African American,0.0,2,07,0.0
2015,811,Black or African American,2.0,5,08,0.4
2015,811,Hispanic or Latino,1.0,11,08,0.09090909090909091
2015,811,White,1.0,2,08,0.5
2015,812,Black or African American,1.0,2,08,0.5
2015,812,Hispanic or Latino,2.0,9,08,0.2222222222222222
2015,812,White,0.0,3,08,0.0
2015,813,Black or African American,0.0,3,08,0.0
2015,813,Hispanic or Latino,6.0,19,08,0.3157894736842105
2015,814,Black or African American,1.0,1,08,1.0
2015,814,Hispanic or Latino,2.0,8,08,0.25
2015,814,White,1.0,2,08,0.5
2015,815,Black or African American,2.0,2,08,1.0
2015,815,Hispanic or Latino,2.0,17,08,0.11764705882352941
2015,815,White,1.0,3,08,0.3333333333333333
2015,821,Hispanic or Latino,5.0,23,08,0.21739130434782608
2015,821,White,0.0,1,08,0.0
2015,822,Black or African American,1.0,2,08,0.5
2015,822,Hispanic or Latino,7.0,29,08,0.2413793103448276
2015,822,White,2.0,2,08,1.0
