YEAR,District,BEAT_I,HITS,num_searches,HITRATE
2015,01,122,0.0,1,0.0
2015,01,124,1.0,1,1.0
2015,01,132,0.0,1,0.0
2015,02,211,1.0,4,0.25
2015,02,212,2.0,5,0.4
2015,02,213,3.0,9,0.3333333333333333
2015,02,214,1.0,3,0.3333333333333333
2015,02,215,0.0,2,0.0
2015,02,221,5.0,17,0.29411764705882354
2015,02,222,1.0,6,0.16666666666666666
2015,02,223,0.0,4,0.0
2015,02,224,2.0,11,0.18181818181818182
2015,02,225,0.0,18,0.0
2015,02,231,1.0,10,0.1
2015,02,232,3.0,20,0.15
2015,02,233,0.0,5,0.0
2015,02,234,0.0,1,0.0
2015,02,235,0.0,1,0.0
2015,03,311,0.0,1,0.0
2015,03,312,1.0,8,0.125
2015,03,313,1.0,3,0.3333333333333333
2015,03,314,0.0,2,0.0
2015,03,321,4.0,11,0.36363636363636365
2015,03,322,1.0,4,0.25
2015,03,323,1.0,3,0.3333333333333333
2015,03,324,1.0,5,0.2
2015,03,331,1.0,5,0.2
2015,03,332,2.0,8,0.25
2015,03,333,3.0,8,0.375
2015,03,334,1.0,7,0.14285714285714285
2015,04,412,0.0,3,0.0
2015,04,413,0.0,2,0.0
2015,04,414,1.0,1,1.0
2015,04,421,0.0,1,0.0
2015,04,423,1.0,1,1.0
2015,05,511,0.0,2,0.0
2015,05,512,2.0,3,0.6666666666666666
2015,05,513,1.0,7,0.14285714285714285
2015,05,522,1.0,4,0.25
2015,05,524,3.0,5,0.6
2015,05,531,0.0,1,0.0
2015,05,532,0.0,2,0.0
2015,06,611,2.0,8,0.25
2015,06,612,1.0,2,0.5
2015,06,613,2.0,3,0.6666666666666666
2015,06,614,2.0,6,0.3333333333333333
2015,06,621,0.0,2,0.0
2015,06,622,0.0,1,0.0
2015,06,623,0.0,6,0.0
2015,06,624,0.0,1,0.0
2015,06,631,1.0,2,0.5
2015,06,632,1.0,3,0.3333333333333333
2015,06,633,0.0,1,0.0
2015,06,634,1.0,1,1.0
2015,07,711,0.0,1,0.0
2015,07,712,2.0,7,0.2857142857142857
2015,07,713,1.0,3,0.3333333333333333
2015,07,715,0.0,1,0.0
2015,07,722,0.0,2,0.0
2015,07,723,1.0,3,0.3333333333333333
2015,07,725,2.0,4,0.5
2015,07,726,1.0,3,0.3333333333333333
2015,07,732,0.0,2,0.0
2015,07,733,1.0,1,1.0
2015,07,734,0.0,2,0.0
2015,07,735,0.0,2,0.0
2015,08,811,4.0,18,0.2222222222222222
2015,08,812,3.0,14,0.21428571428571427
2015,08,813,6.0,22,0.2727272727272727
2015,08,814,4.0,11,0.36363636363636365
2015,08,815,5.0,22,0.22727272727272727
2015,08,821,5.0,24,0.20833333333333334
2015,08,822,10.0,33,0.30303030303030304
2015,08,823,11.0,49,0.22448979591836735
2015,08,824,6.0,51,0.11764705882352941
2015,08,825,13.0,65,0.2
2015,08,831,5.0,18,0.2777777777777778
2015,08,832,13.0,56,0.23214285714285715
2015,08,833,3.0,26,0.11538461538461539
2015,08,834,3.0,10,0.3
2015,08,835,8.0,29,0.27586206896551724
2015,09,911,1.0,3,0.3333333333333333
2015,09,912,0.0,2,0.0
2015,09,913,0.0,3,0.0
2015,09,914,0.0,2,0.0
2015,09,921,1.0,3,0.3333333333333333
2015,09,922,0.0,1,0.0
2015,09,923,1.0,11,0.09090909090909091
2015,09,924,2.0,9,0.2222222222222222
2015,09,925,0.0,2,0.0
2015,09,931,0.0,4,0.0
2015,09,932,0.0,6,0.0
2015,09,933,2.0,7,0.2857142857142857
2015,09,934,4.0,16,0.25
2015,09,935,1.0,4,0.25
2015,10,1011,28.0,104,0.2692307692307692
2015,10,1012,22.0,66,0.3333333333333333
2015,10,1013,10.0,91,0.10989010989010989
2015,10,1014,16.0,77,0.2077922077922078
2015,10,1021,13.0,74,0.17567567567567569
2015,10,1022,12.0,76,0.15789473684210525
2015,10,1023,4.0,20,0.2
2015,10,1024,12.0,49,0.24489795918367346
2015,10,1031,6.0,89,0.06741573033707865
2015,10,1032,11.0,88,0.125
2015,10,1033,13.0,66,0.19696969696969696
2015,10,1034,3.0,39,0.07692307692307693
2015,11,1111,5.0,81,0.06172839506172839
2015,11,1112,12.0,101,0.1188118811881188
2015,11,1113,6.0,57,0.10526315789473684
2015,11,1114,7.0,23,0.30434782608695654
2015,11,1115,9.0,70,0.12857142857142856
2015,11,1121,4.0,50,0.08
2015,11,1122,10.0,78,0.1282051282051282
2015,11,1123,5.0,26,0.19230769230769232
2015,11,1124,5.0,25,0.2
2015,11,1125,0.0,6,0.0
2015,11,1131,2.0,13,0.15384615384615385
2015,11,1132,4.0,32,0.125
2015,11,1133,13.0,54,0.24074074074074073
2015,11,1134,9.0,46,0.1956521739130435
2015,11,1135,3.0,21,0.14285714285714285
2015,12,1211,0.0,3,0.0
2015,12,1214,0.0,1,0.0
2015,12,1221,2.0,3,0.6666666666666666
2015,12,1222,2.0,6,0.3333333333333333
2015,12,1223,0.0,1,0.0
2015,12,1225,0.0,2,0.0
2015,12,1231,0.0,1,0.0
2015,12,1232,1.0,2,0.5
2015,12,1233,0.0,1,0.0
2015,12,1234,0.0,4,0.0
2015,14,1411,1.0,2,0.5
2015,14,1412,3.0,7,0.42857142857142855
2015,14,1413,0.0,5,0.0
2015,14,1421,0.0,1,0.0
2015,14,1422,0.0,3,0.0
2015,14,1423,0.0,2,0.0
2015,14,1431,1.0,1,1.0
2015,14,1434,0.0,1,0.0
2015,15,1511,0.0,6,0.0
2015,15,1512,0.0,4,0.0
2015,15,1513,1.0,7,0.14285714285714285
2015,15,1522,3.0,16,0.1875
2015,15,1523,2.0,10,0.2
2015,15,1524,5.0,24,0.20833333333333334
2015,15,1531,2.0,22,0.09090909090909091
2015,15,1532,2.0,30,0.06666666666666667
2015,15,1533,4.0,56,0.07142857142857142
2015,16,1611,0.0,1,0.0
2015,16,1612,0.0,1,0.0
2015,16,1622,1.0,1,1.0
2015,16,1623,0.0,1,0.0
2015,16,1624,1.0,3,0.3333333333333333
2015,16,1631,1.0,1,1.0
2015,16,1632,0.0,3,0.0
2015,16,1633,1.0,5,0.2
2015,16,1634,1.0,14,0.07142857142857142
2015,17,1712,0.0,3,0.0
2015,17,1722,0.0,1,0.0
2015,17,1723,0.0,2,0.0
2015,17,1724,0.0,1,0.0
2015,17,1731,4.0,12,0.3333333333333333
2015,17,1732,4.0,10,0.4
2015,17,1733,0.0,2,0.0
2015,18,1812,1.0,1,1.0
2015,18,1813,0.0,1,0.0
2015,18,1822,0.0,1,0.0
2015,18,1823,0.0,3,0.0
2015,18,1831,1.0,1,1.0
2015,18,1834,0.0,1,0.0
2015,19,1911,0.0,2,0.0
2015,19,1912,0.0,1,0.0
2015,19,1913,0.0,1,0.0
2015,19,1914,0.0,4,0.0
2015,19,1915,1.0,1,1.0
2015,19,1924,0.0,1,0.0
2015,19,1932,0.0,1,0.0
2015,19,1935,0.0,1,0.0
2015,20,2011,3.0,6,0.5
2015,20,2012,1.0,1,1.0
2015,20,2013,1.0,3,0.3333333333333333
2015,20,2022,0.0,1,0.0
2015,20,2023,0.0,1,0.0
2015,20,2024,0.0,1,0.0
2015,20,2031,4.0,6,0.6666666666666666
2015,20,2033,0.0,1,0.0
2015,22,2211,1.0,4,0.25
2015,22,2212,4.0,11,0.36363636363636365
2015,22,2213,3.0,3,1.0
2015,22,2221,8.0,9,0.8888888888888888
2015,22,2222,12.0,19,0.631578947368421
2015,22,2223,8.0,15,0.5333333333333333
2015,22,2232,7.0,12,0.5833333333333334
2015,22,2233,4.0,8,0.5
2015,22,2234,5.0,14,0.35714285714285715
2015,24,2411,6.0,23,0.2608695652173913
2015,24,2412,15.0,36,0.4166666666666667
2015,24,2413,25.0,41,0.6097560975609756
2015,24,2422,12.0,37,0.32432432432432434
2015,24,2423,10.0,16,0.625
2015,24,2424,13.0,37,0.35135135135135137
2015,24,2431,6.0,18,0.3333333333333333
2015,24,2432,10.0,40,0.25
2015,24,2433,4.0,19,0.21052631578947367
2015,25,2511,5.0,28,0.17857142857142858
2015,25,2512,26.0,77,0.33766233766233766
2015,25,2513,7.0,38,0.18421052631578946
2015,25,2514,22.0,94,0.23404255319148937
2015,25,2515,41.0,188,0.21808510638297873
2015,25,2521,47.0,226,0.2079646017699115
2015,25,2522,32.0,138,0.2318840579710145
2015,25,2523,20.0,87,0.22988505747126436
2015,25,2524,21.0,118,0.17796610169491525
2015,25,2525,27.0,119,0.226890756302521
2015,25,2531,41.0,207,0.19806763285024154
2015,25,2532,43.0,178,0.24157303370786518
2015,25,2533,38.0,220,0.17272727272727273
2015,25,2534,32.0,152,0.21052631578947367
2015,25,2535,27.0,101,0.26732673267326734
2015,31,3100,13.0,58,0.22413793103448276
2016,01,114,0.0,1,0.0
2016,01,121,0.0,1,0.0
2016,01,122,0.0,1,0.0
2016,02,212,1.0,1,1.0
2016,02,215,0.0,1,0.0
2016,02,222,0.0,1,0.0
2016,02,223,1.0,1,1.0
2016,02,224,0.0,1,0.0
2016,02,232,0.0,1,0.0
2016,02,235,0.0,1,0.0
2016,03,312,2.0,4,0.5
2016,03,321,1.0,2,0.5
2016,03,322,2.0,3,0.6666666666666666
2016,03,323,0.0,3,0.0
2016,03,324,0.0,4,0.0
2016,03,331,1.0,3,0.3333333333333333
2016,03,332,2.0,2,1.0
2016,03,333,1.0,3,0.3333333333333333
2016,03,334,0.0,1,0.0
